pillar,menu_handle,level,label,path,url,target_handle,note
Payloads & Sensors,enterprise,2,Enterprise Sensors,Payloads & Sensors > Enterprise Sensors,/collections/enterprise-sensors,enterprise-sensors,
Payloads & Sensors,enterprise,2,Thermal Cameras,Payloads & Sensors > Thermal Cameras,/collections/thermal-drones,thermal-drones,
Payloads & Sensors,enterprise,2,Speaker Systems,Payloads & Sensors > Speaker Systems,/collections/enterprise-speaker-systems,enterprise-speaker-systems,
Payloads & Sensors,enterprise,2,Lifting Systems,Payloads & Sensors > Lifting Systems,/collections/enterprise-lifting-systems,enterprise-lifting-systems,
Payloads & Sensors,enterprise,2,Enterprise Lighting,Payloads & Sensors > Enterprise Lighting,/collections/enterprise-lighting,enterprise-lighting,
Brands,main-menu,1,Brands,Brands,,,top-level
Brands,main-menu,2,DJI,Brands > DJI,/collections/dji-drones,dji-drones,
Brands,main-menu,2,PolarPro,Brands > PolarPro,/collections/polarpro,polarpro,
Brands,main-menu,2,PGYTech,Brands > PGYTech,/collections/pgytech,pgytech,
Brands,main-menu,2,Sunnylife,Brands > Sunnylife,/collections/sunnylife,sunnylife,
Brands,main-menu,2,GoPro,Brands > GoPro,/collections/gopro-accessories,gopro-accessories,
Brands,main-menu,2,BRDRC,Brands > BRDRC,/collections/brdrc-accessories,brdrc-accessories,
Support,service-support,1,Support,Support,,,top-level
Support,service-support,2,Service & Support,Support > Service & Support,/pages/service-support,service-support,
Support,service-support,2,DJI Service,Support > DJI Service,/pages/dji-service,dji-service,
Support,service-support,2,Enterprise Service,Support > Enterprise Service,/pages/dji-enterprise-service,dji-enterprise-service,
Support,service-support,2,Request a Quote,Support > Request a Quote,/pages/request-a-quote,request-a-quote,
Support,service-support,2,Business Account,Support > Business Account,/pages/business-account,business-account,
Support,service-support,2,RMA,Support > RMA,/pages/rma,rma,
Support,service-support,2,Training,Support > Training,/pages/training,training,
Support,service-support,2,Financing,Support > Financing,/pages/financing,financing,
