resource_type,proposed_handle,taxonomy_pillar,action,menu_path,proposed_url,note
collection,dji-avata-2-accessories,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > accessories,/collections/dji-avata-2-accessories,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-spare-parts,Spare Parts,CREATE,Spare Parts > DJI Matrice 30 Series,/collections/dji-matrice-30-spare-parts,Approved hub collection
collection,dji-matrice-30-propellers,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > propellers,/collections/dji-matrice-30-propellers,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-batteries,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > batteries,/collections/dji-matrice-30-batteries,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-motors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > motors,/collections/dji-matrice-30-motors,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-arms,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > arms,/collections/dji-matrice-30-arms,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-cameras,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > cameras,/collections/dji-matrice-30-cameras,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-gimbal,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > gimbal,/collections/dji-matrice-30-gimbal,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-shell,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > shell,/collections/dji-matrice-30-shell,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-landing-gear,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > landing-gear,/collections/dji-matrice-30-landing-gear,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-cables,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > cables,/collections/dji-matrice-30-cables,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-antennas,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > antennas,/collections/dji-matrice-30-antennas,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-sensors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > sensors,/collections/dji-matrice-30-sensors,"Component collection — create if missing, assign products via rules"
collection,dji-matrice-30-accessories,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Matrice 30 Series > accessories,/collections/dji-matrice-30-accessories,"Component collection — create if missing, assign products via rules"
page,enterprise-software,Enterprise,CREATE,Enterprise > Enterprise Software,/pages/enterprise-software,Approved enterprise software landing
