current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,products_count,execute_phase,internal_references_impacted
dji-flycart-100-lastdronare,dji-flycart-100-cargo-drones,/collections/dji-flycart-100-lastdronare,/collections/dji-flycart-100-cargo-drones,YES,YES,DJI FlyCart 100: Lastdrönare för Tunga Lyft,2,3,main-menu → FlyCart 100; main-menu → :[FlyCart 100
dji-flycart-30,dji-flycart-30,/collections/dji-flycart-30,/collections/dji-flycart-30,NO,NO,DJI FlyCart 30,2,SKIP,enterprise-expansion-deploy → :[];FlyCart 30
dji-flycart-30-batteries,dji-flycart-30-batteries,/collections/dji-flycart-30-batteries,/collections/dji-flycart-30-batteries,NO,NO,DJI FlyCart 30 — Batterier,370,SKIP,
dji-flycart-30-spare-parts,dji-flycart-30-spare-parts,/collections/dji-flycart-30-spare-parts,/collections/dji-flycart-30-spare-parts,NO,NO,DJI FlyCart 30 — Reservdelar,2,SKIP,
dji-flycart-series,dji-flycart-series,/collections/dji-flycart-series,/collections/dji-flycart-series,NO,NO,DJI FlyCart Serien,2,SKIP,
dji-fpv-accessories,dji-fpv-accessories,/collections/dji-fpv-accessories,/collections/dji-fpv-accessories,NO,NO,Dji FPV Tillbehör – Optimera Din Flygning Med Kvalitet,1,SKIP,
dji-inspire,dji-inspire,/collections/dji-inspire,/collections/dji-inspire,NO,NO,DJI Inspire Serien Professionella Drönare för Kreatörer,0,SKIP,
dji-inspire-series,dji-inspire-series,/collections/dji-inspire-series,/collections/dji-inspire-series,NO,NO,DJI Inspire Serien,0,SKIP,
dji-marvic-enterprise,dji-marvic-enterprise,/collections/dji-marvic-enterprise,/collections/dji-marvic-enterprise,NO,NO,DJI Marvic Enterprise,1,SKIP,
dji-matrice-3-series,dji-matrice-3-series,/collections/dji-matrice-3-series,/collections/dji-matrice-3-series,NO,NO,DJI Matrice 4 Serien,22,SKIP,
dji-matrice-30-serie-accessories,dji-matrice-30-series-accessories,/collections/dji-matrice-30-serie-accessories,/collections/dji-matrice-30-series-accessories,YES,YES,dji arm - DJI Matrice 30 Serie Tillbehör,9,3,
dji-matrice-300-rtk,dji-matrice-300-rtk,/collections/dji-matrice-300-rtk,/collections/dji-matrice-300-rtk,NO,NO,DJI Matrice 300 RTK,2,SKIP,enterprise-expansion-deploy → Matrice 300 RTK
dji-matrice-350-rtk-accessories,dji-matrice-350-rtk-accessories,/collections/dji-matrice-350-rtk-accessories,/collections/dji-matrice-350-rtk-accessories,NO,NO,DJI Matrice 350 RTK Tillbehör och Skydd,8,SKIP,
dji-matrice-350-rtk-antenner,dji-matrice-350-rtk-antennas,/collections/dji-matrice-350-rtk-antenner,/collections/dji-matrice-350-rtk-antennas,YES,YES,DJI Matrice 350 RTK — Antenner,17,3,spare-parts-deploy → :[];Antenner
dji-matrice-350-rtk-batteries,dji-matrice-350-rtk-batteries,/collections/dji-matrice-350-rtk-batteries,/collections/dji-matrice-350-rtk-batteries,NO,NO,DJI Matrice 350 RTK — Batterier,374,SKIP,
dji-matrice-350-rtk-rtk,dji-matrice-350-rtk-rtk,/collections/dji-matrice-350-rtk-rtk,/collections/dji-matrice-350-rtk-rtk,NO,NO,DJI Matrice 350 RTK — RTK,28,SKIP,spare-parts-deploy → :[];RTK
dji-matrice-350-rtk-spare-parts,dji-matrice-350-rtk-spare-parts,/collections/dji-matrice-350-rtk-spare-parts,/collections/dji-matrice-350-rtk-spare-parts,NO,NO,DJI Matrice 350 RTK — Reservdelar,5,SKIP,
dji-matrice-3d,dji-matrice-3d,/collections/dji-matrice-3d,/collections/dji-matrice-3d,NO,NO,DJI Matrice 3D,2,SKIP,enterprise-expansion-deploy → :[];Matrice 3D
dji-matrice-3td,dji-matrice-3td,/collections/dji-matrice-3td,/collections/dji-matrice-3td,NO,NO,DJI Matrice 3TD,1,SKIP,enterprise-expansion-deploy → :[];Matrice 3TD
dji-matrice-4-accessories,dji-matrice-4-accessories,/collections/dji-matrice-4-accessories,/collections/dji-matrice-4-accessories,NO,NO,DJI Matrice 4 Tillbehör för Professionella Drönare,15,SKIP,
dji-matrice-4-batteries,dji-matrice-4-batteries,/collections/dji-matrice-4-batteries,/collections/dji-matrice-4-batteries,NO,NO,DJI Matrice 4 — Batterier,387,SKIP,
dji-matrice-4-gimbal,dji-matrice-4-gimbal,/collections/dji-matrice-4-gimbal,/collections/dji-matrice-4-gimbal,NO,NO,DJI Matrice 4 — Gimbal,233,SKIP,spare-parts-deploy → :[];Gimbal
dji-matrice-4-kablar,dji-matrice-4-cables,/collections/dji-matrice-4-kablar,/collections/dji-matrice-4-cables,YES,YES,DJI Matrice 4 — Kablar,618,3,spare-parts-deploy → :[];Kablar
dji-matrice-4-kameror,dji-matrice-4-cameras,/collections/dji-matrice-4-kameror,/collections/dji-matrice-4-cameras,YES,YES,DJI Matrice 4 — Kameror,1075,3,spare-parts-deploy → :[];Kameror
dji-matrice-4-propellers,dji-matrice-4-propellers,/collections/dji-matrice-4-propellers,/collections/dji-matrice-4-propellers,NO,NO,DJI Matrice 4 — Propellrar,242,SKIP,
dji-matrice-4-rtk,dji-matrice-4-rtk,/collections/dji-matrice-4-rtk,/collections/dji-matrice-4-rtk,NO,NO,DJI Matrice 4 — RTK,47,SKIP,spare-parts-deploy → :[];RTK
dji-matrice-4-serie,dji-matrice-4-series,/collections/dji-matrice-4-serie,/collections/dji-matrice-4-series,YES,YES,dji matrice 4 Serie,22,3,
dji-matrice-4-spare-parts,dji-matrice-4-spare-parts,/collections/dji-matrice-4-spare-parts,/collections/dji-matrice-4-spare-parts,NO,NO,DJI Matrice 4 — Reservdelar,21,SKIP,
dji-matrice-400-series,dji-matrice-400-series,/collections/dji-matrice-400-series,/collections/dji-matrice-400-series,NO,NO,DJI Matrice 400 Serien för Professionella Uppdrag,9,SKIP,
dji-matrice-series,dji-matrice-series,/collections/dji-matrice-series,/collections/dji-matrice-series,NO,NO,DJI Matrice-serien – Professionella Enterprise-drönare,32,SKIP,
dji-mavic-2-pro,dji-mavic-2-pro,/collections/dji-mavic-2-pro,/collections/dji-mavic-2-pro,NO,NO,DJI Mavic 2 Pro,1,SKIP,
dji-mavic-2-series,dji-mavic-2-series,/collections/dji-mavic-2-series,/collections/dji-mavic-2-series,NO,NO,DJI Mavic 2-serien: Avancerade Drönare,2,SKIP,
dji-mavic-3-accessories,dji-mavic-3-accessories,/collections/dji-mavic-3-accessories,/collections/dji-mavic-3-accessories,NO,NO,DJI Mavic 3 Tillbehör för Optimal Prestanda,66,SKIP,
dji-mavic-3-cine-drones,dji-mavic-3-cine-drones,/collections/dji-mavic-3-cine-drones,/collections/dji-mavic-3-cine-drones,NO,NO,DJI Mavic 3 Cine: Ultimata Drönaren för Filmskapare,1,SKIP,
dji-mavic-3-classic,dji-mavic-3-classic,/collections/dji-mavic-3-classic,/collections/dji-mavic-3-classic,NO,NO,Tillbehör DJI Mavic 3 Classic,15,SKIP,
dji-mavic-3-enterprise,dji-mavic-3-enterprise,/collections/dji-mavic-3-enterprise,/collections/dji-mavic-3-enterprise,NO,NO,DJI Mavic 3 Enterprise - Kvalitet &,5,SKIP,enterprise-dr-nare → Mavic Enterprise; enterprise-dr-nare → :[];Mavic Enterprise
dji-mavic-3-enterprise-accessories,dji-mavic-3-enterprise-accessories,/collections/dji-mavic-3-enterprise-accessories,/collections/dji-mavic-3-enterprise-accessories,NO,NO,DJI Mavic 3 Enterprise — Tillbehör,85,SKIP,
dji-mavic-3-enterprise-batteries,dji-mavic-3-enterprise-batteries,/collections/dji-mavic-3-enterprise-batteries,/collections/dji-mavic-3-enterprise-batteries,NO,NO,DJI Mavic 3 Enterprise — Batterier,372,SKIP,
dji-mavic-3-enterprise-gimbal,dji-mavic-3-enterprise-gimbal,/collections/dji-mavic-3-enterprise-gimbal,/collections/dji-mavic-3-enterprise-gimbal,NO,NO,DJI Mavic 3 Enterprise — Gimbal,218,SKIP,spare-parts-deploy → :[];Gimbal
dji-mavic-3-enterprise-kameror,dji-mavic-3-enterprise-cameras,/collections/dji-mavic-3-enterprise-kameror,/collections/dji-mavic-3-enterprise-cameras,YES,YES,DJI Mavic 3 Enterprise — Kameror,1057,3,spare-parts-deploy → :[];Kameror
dji-mavic-3-enterprise-skal,dji-mavic-3-enterprise-shell,/collections/dji-mavic-3-enterprise-skal,/collections/dji-mavic-3-enterprise-shell,YES,YES,DJI Mavic 3 Enterprise — Skal,230,3,spare-parts-deploy → :[];Skal
dji-mavic-3-enterprise-spare-parts,dji-mavic-3-enterprise-spare-parts,/collections/dji-mavic-3-enterprise-spare-parts,/collections/dji-mavic-3-enterprise-spare-parts,NO,NO,DJI Mavic 3 Enterprise — Reservdelar,5,SKIP,
dji-mavic-3-pro-accessories,dji-mavic-3-pro-accessories,/collections/dji-mavic-3-pro-accessories,/collections/dji-mavic-3-pro-accessories,NO,NO,DJI Mavic 3 Pro tillbehör – Drönartillbehör för proffs,11,SKIP,
dji-mavic-3-pro-advanced-drone-tech,dji-mavic-3-pro-advanced-drone-tech,/collections/dji-mavic-3-pro-advanced-drone-tech,/collections/dji-mavic-3-pro-advanced-drone-tech,NO,NO,DJI Mavic 3 Pro: Avancerad Drönarteknik,5,SKIP,
dji-mavic-3-series,dji-mavic-3-series,/collections/dji-mavic-3-series,/collections/dji-mavic-3-series,NO,NO,DJI Mavic 3-serien: Proffsens val av drönare,11,SKIP,
dji-mavic-3-thermal,dji-mavic-3-thermal,/collections/dji-mavic-3-thermal,/collections/dji-mavic-3-thermal,NO,NO,DJI Mavic 3 Thermal,8,SKIP,enterprise-expansion-deploy → :[];Mavic 3 Thermal
dji-mavic-3m-drones-accessories,dji-mavic-3m-drones-accessories,/collections/dji-mavic-3m-drones-accessories,/collections/dji-mavic-3m-drones-accessories,NO,NO,DJI Mavic 3M Drönare och Tillbehör,5,SKIP,
dji-mavic-4-pro,dji-mavic-4-pro,/collections/dji-mavic-4-pro,/collections/dji-mavic-4-pro,NO,NO,DJI Mavic 4 Tillbehör,3,SKIP,
dji-mavic-4-series,dji-mavic-4-series,/collections/dji-mavic-4-series,/collections/dji-mavic-4-series,NO,NO,Upptäck DJI Mavic 4-serien för exceptionell flygfotografering,3,SKIP,
dji-mavic-accessories,dji-mavic-accessories,/collections/dji-mavic-accessories,/collections/dji-mavic-accessories,NO,NO,Dji Mavic Tillbehör för Förbättrad Flygning,9,SKIP,
dji-mavic-air-accessories,dji-mavic-air-accessories,/collections/dji-mavic-air-accessories,/collections/dji-mavic-air-accessories,NO,NO,Komplett utbud av DJI Mavic Air Tillbehör,39,SKIP,
dji-mavic-pro-accessories,dji-mavic-pro-accessories,/collections/dji-mavic-pro-accessories,/collections/dji-mavic-pro-accessories,NO,NO,Omfattande DJI Mavic Pro Tillbehör,46,SKIP,
dji-mavic-pro-battery-bag,dji-mavic-pro-battery-bag,/collections/dji-mavic-pro-battery-bag,/collections/dji-mavic-pro-battery-bag,NO,NO,dji mavic pro batteri väska - DJI Mavic Pro Batteriväska och Tillbehör,5,SKIP,
dji-mavic-series,dji-mavic-series,/collections/dji-mavic-series,/collections/dji-mavic-series,NO,NO,DJI Mavic-Serien,6,SKIP,
dji-mavic-series-enterprise,dji-mavic-series-enterprise,/collections/dji-mavic-series-enterprise,/collections/dji-mavic-series-enterprise,NO,NO,DJI Mavic Serien enterprise,11,SKIP,
dji-mini-2-series,dji-mini-2-series,/collections/dji-mini-2-series,/collections/dji-mini-2-series,NO,NO,DJI Mini 2-Serien,0,SKIP,
dji-mini-3,dji-mini-3,/collections/dji-mini-3,/collections/dji-mini-3,NO,NO,DJI Mini 3 Drönare för Professionellt Flygfoto,5,SKIP,
dji-mini-3-accessories,dji-mini-3-accessories,/collections/dji-mini-3-accessories,/collections/dji-mini-3-accessories,NO,NO,DJI Mini 3 Tillbehör,43,SKIP,
dji-mini-3-series,dji-mini-3-series,/collections/dji-mini-3-series,/collections/dji-mini-3-series,NO,NO,DJI Mini 3-Serien,5,SKIP,
dji-mini-4-pro,dji-mini-4-pro,/collections/dji-mini-4-pro,/collections/dji-mini-4-pro,NO,NO,"DJI Mini 4 Pro – Frihet, precision och kreativ kontroll i miniformat",1,SKIP,
dji-mini-4-pro-accessories,dji-mini-4-pro-accessories,/collections/dji-mini-4-pro-accessories,/collections/dji-mini-4-pro-accessories,NO,NO,DJI Mini 4 Pro,14,SKIP,
dji-mini-4-pro-antenner,dji-mini-4-pro-antennas,/collections/dji-mini-4-pro-antenner,/collections/dji-mini-4-pro-antennas,YES,YES,DJI Mini 4 Pro — Antenner,130,3,spare-parts-deploy → :[];Antenner
dji-mini-4-pro-armar,dji-mini-4-pro-arms,/collections/dji-mini-4-pro-armar,/collections/dji-mini-4-pro-arms,YES,YES,DJI Mini 4 Pro — Armar,264,3,spare-parts-deploy → :[];Armar
dji-mini-4-pro-batteries,dji-mini-4-pro-batteries,/collections/dji-mini-4-pro-batteries,/collections/dji-mini-4-pro-batteries,NO,NO,DJI Mini 4 Pro — Batterier,480,SKIP,
dji-mini-4-pro-gimbal,dji-mini-4-pro-gimbal,/collections/dji-mini-4-pro-gimbal,/collections/dji-mini-4-pro-gimbal,NO,NO,DJI Mini 4 Pro — Gimbal,323,SKIP,spare-parts-deploy → :[];Gimbal
dji-mini-4-pro-kablar,dji-mini-4-pro-cables,/collections/dji-mini-4-pro-kablar,/collections/dji-mini-4-pro-cables,YES,YES,DJI Mini 4 Pro — Kablar,715,3,spare-parts-deploy → :[];Kablar
dji-mini-4-pro-kameror,dji-mini-4-pro-cameras,/collections/dji-mini-4-pro-kameror,/collections/dji-mini-4-pro-cameras,YES,YES,DJI Mini 4 Pro — Kameror,1165,3,spare-parts-deploy → :[];Kameror
dji-mini-4-pro-landningsstall,dji-mini-4-pro-landing-gear,/collections/dji-mini-4-pro-landningsstall,/collections/dji-mini-4-pro-landing-gear,YES,YES,DJI Mini 4 Pro — Landningsställ,159,3,spare-parts-deploy → :[];Landningsställ
dji-mini-4-pro-motorer,dji-mini-4-pro-motors,/collections/dji-mini-4-pro-motorer,/collections/dji-mini-4-pro-motors,YES,YES,DJI Mini 4 Pro — Motorer,241,3,spare-parts-deploy → :[];Motorer
dji-mini-4-pro-propellers,dji-mini-4-pro-propellers,/collections/dji-mini-4-pro-propellers,/collections/dji-mini-4-pro-propellers,NO,NO,DJI Mini 4 Pro — Propellrar,320,SKIP,
dji-mini-4-pro-sensorer,dji-mini-4-pro-sensors,/collections/dji-mini-4-pro-sensorer,/collections/dji-mini-4-pro-sensors,YES,YES,DJI Mini 4 Pro — Sensorer,144,3,spare-parts-deploy → :[];Sensorer
dji-mini-4-pro-skal,dji-mini-4-pro-shell,/collections/dji-mini-4-pro-skal,/collections/dji-mini-4-pro-shell,YES,YES,DJI Mini 4 Pro — Skal,342,3,spare-parts-deploy → :[];Skal
dji-mini-4-pro-spare-parts,dji-mini-4-pro-spare-parts,/collections/dji-mini-4-pro-spare-parts,/collections/dji-mini-4-pro-spare-parts,NO,NO,DJI Mini 4 Pro — Reservdelar,127,SKIP,
dji-mini-4-series,dji-mini-4-series,/collections/dji-mini-4-series,/collections/dji-mini-4-series,NO,NO,DJI Mini 4-Serien,2,SKIP,
dji-mini-5-series,dji-mini-5-series,/collections/dji-mini-5-series,/collections/dji-mini-5-series,NO,NO,DJI Mini 5-Serien,2,SKIP,
dji-mini-accessories,dji-mini-accessories,/collections/dji-mini-accessories,/collections/dji-mini-accessories,NO,NO,DJI Mini Tillbehör för Din Drönare,7,SKIP,
dji-neo,dji-neo,/collections/dji-neo,/collections/dji-neo,NO,NO,DJI Neo,3,SKIP,main-menu → DJI Neo; main-menu → :[];DJI Neo
dji-neo-2-accessories,dji-neo-2-accessories,/collections/dji-neo-2-accessories,/collections/dji-neo-2-accessories,NO,NO,DJI Neo 2 Tillbehör för din Drönare,54,SKIP,
dji-neo-accessories,dji-neo-accessories,/collections/dji-neo-accessories,/collections/dji-neo-accessories,NO,NO,DJI Neo Tillbehör – Batteri & mer för din drönare,129,SKIP,
dji-phantom-3-pro-v1,dji-phantom-3-pro-v1,/collections/dji-phantom-3-pro-v1,/collections/dji-phantom-3-pro-v1,NO,NO,DJI Phantom 3 Pro v1 Drönare och Tillbehör,0,SKIP,
dji-phantom-3-se,dji-phantom-3-se,/collections/dji-phantom-3-se,/collections/dji-phantom-3-se,NO,NO,DJI Phantom 3 SE Drönare med Kamera,43,SKIP,main-menu → Legacy DJI; main-menu → Phantom; main-menu → :[]];Legacy DJI; main-menu → :[Phantom
dji-phantom-4-pro-drones,dji-phantom-4-pro-drones,/collections/dji-phantom-4-pro-drones,/collections/dji-phantom-4-pro-drones,NO,NO,DJI Phantom 4 Pro Drönare för Professionella,0,SKIP,
dji-phantom-accessories-bag-spare-parts,dji-phantom-accessories-bag-spare-parts,/collections/dji-phantom-accessories-bag-spare-parts,/collections/dji-phantom-accessories-bag-spare-parts,NO,NO,DJI Phantom Tillbehör för Optimal Prestanda,0,SKIP,
